"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Adjustment","Adjustment"
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Balance","Balance"
"Comment","Comment"
"Create New Receipt","Create New Receipt"
"Create New Transaction","Create New Transaction"
"Delete Receipt","Delete Receipt"
"Delete Transaction","Delete Transaction"
"Edit Receipt '%1'","Edit Receipt '%1'"
"Edit Transaction '%1'","Edit Transaction '%1'"
"Extra","Extra"
"ID","ID"
"Increment Id","Increment Id"
"Item Id","Item Id"
"Name","Name"
"New Receipt","New Receipt"
"New Transaction","New Transaction"
"Parent Id","Parent Id"
"Parent Type","Parent Type"
"Please Select Receipts.","Please Select Receipts."
"Please Select Transaction.","Please Select Transaction."
"Receipt %1","Receipt %1"
"Receipt Information","Receipt Information"
"Receipt to delete was not found.","Receipt to delete was not found."
"Receipt","Receipt"
"Receipts","Receipts"
"Reference Id","Reference Id"
"Reference Type","Reference Type"
"Save Receipt","Save Receipt"
"Save Transaction","Save Transaction"
"Save and Continue Edit","Save and Continue Edit"
"Something went wrong while saving the Receipt.","Something went wrong while saving the Receipt."
"Something went wrong while saving the Transaction.","Something went wrong while saving the Transaction."
"The Receipt has been deleted.","The Receipt has been deleted."
"The Receipt has been saved.","The Receipt has been saved."
"The Transaction has been deleted.","The Transaction has been deleted."
"The Transaction has been saved.","The Transaction has been saved."
"This Receipt no longer exists.","This Receipt no longer exists."
"This Transaction no longer exists.","This Transaction no longer exists."
"Transaction %1","Transaction %1"
"Transaction Information","Transaction Information"
"Transaction to delete was not found.","Transaction to delete was not found."
"Transaction","Transaction"
